Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,type,platform
Agnipankh,Hindi,4.5,134,2004,All,Movie,Amazon Prime
Dongala Vetagaadu,Telugu,None,129,1985,NR,Movie,Amazon Prime
Fantastic Beasts and Where to Find Them,Telugu,7.3,132,2016,13+,Movie,Amazon Prime
Rathaavara,Kannada, 6.5,131,2015,13+,Movie,Amazon Prime
The Ninth Configuration,English,7,117,1980,18+,Movie,Amazon Prime
Sneham,Malayalam,6.8,134,1998,NR,Movie,Amazon Prime
2016 The End,Hindi,5.8,121,2017,13+,Movie,Amazon Prime
Beautiful Boy,English,7.3,120,2018,18+,Movie,Amazon Prime
Rocket Singh Salesman of the Year,Hindi,7.5,154,2009,13+,Movie,Amazon Prime
Aparajito,Bengali,8.4,93,2017,13+,Movie,Amazon Prime
Sivakasi,Tamil,5.3,175,2005,All,Movie,Amazon Prime
Big Game,Tamil,5.4,87,2015,16+,Movie,Amazon Prime
Terminator Genisys,English,6.3,125,2015,13+,Movie,Amazon Prime
Unrelated,English,6.8,95,2007,NR,Movie,Amazon Prime
Welcome,Hindi,6.9,149,2007,13+,Movie,Amazon Prime
Gangs of Wasseypur Part 1,Hindi,8.2,161,2012,18+,Movie,Amazon Prime
Ghar Basake Dekho,Hindi,5.8,139,None,NR,Movie,Amazon Prime
GAMBIT,English,5.7,89,2013,13+,Movie,Amazon Prime
Ab To Jagoo,Hindi,None,90,2013,NR,Movie,Amazon Prime
Rajavinte Makan,Malayalam,7.6,128,1986,NR,Movie,Amazon Prime
Around Them,English,None,52,2020,13+,Movie,Amazon Prime
Manya Sajjana,Marathi,None,2 h,2008,All,Movie,Amazon Prime
Adarshavanthudu,Telugu,None,126,None,NR,Movie,Amazon Prime
Mahanati (Telugu),Telugu,8.5,170,2018,All,Movie,Amazon Prime
Yatra (Malayalam),Malayalam,8.2,125,2019,All,Movie,Amazon Prime
Cat in the Hat,English,4,81,2003,7+,Movie,Amazon Prime
Kirdar E Sardar,Punjabi,7.2,136,2017,13+,Movie,Amazon Prime
Alvin and the Chipmunks: The Squeakquel,English,4.5,88,2009,All,Movie,Amazon Prime
Touring Talkies,English,7.7,52,2020,13+,Movie,Amazon Prime
Pratignya,Bengali,None,117,1985,NR,Movie,Amazon Prime
Gold,Hindi,7.3,145,2018,13+,Movie,Amazon Prime
Baap Re Baap Dokyala Taap,Marathi,6,140,2008,All,Movie,Amazon Prime
Rapture-Palooza,English,5.2,84,2013,18+,Movie,Amazon Prime
Jane Anjane,Hindi,None,139,1971,NR,Movie,Amazon Prime
Aloo Paratha,Bengali,None,4,2020,13+,Movie,Amazon Prime
C.B.I. Shankar,Kannada,7.7,130,1989,NR,Movie,Amazon Prime
Billa No. 786,Hindi,4.5,140,2001,NR,Movie,Amazon Prime
Darna Mana Hai,Hindi,6.3,116,2003,18+,Movie,Amazon Prime
Vivaha Bhojanambu,Telugu,7.7,138,1988,NR,Movie,Amazon Prime
Hear No Evil,English,5.1,96,1993,18+,Movie,Amazon Prime
Homefront,Telugu,6.5,96,2013,18+,Movie,Amazon Prime
Bobbili Brahmanna,Telugu,5.4,122,1984,NR,Movie,Amazon Prime
Hum Ho Gaye Aap Ke,Hindi,4.2,157,2001,13+,Movie,Amazon Prime
Ellame En Pondattithaan,Tamil,None,152,1998,All,Movie,Amazon Prime
Okkadu,Telugu,8,155,2003,NR,Movie,Amazon Prime
The Collection,English,6.1,77,2012,18+,Movie,Amazon Prime
Tere Pyar Mein,Hindi,None,108,1979,NR,Movie,Amazon Prime
The Stolen Princess (Telugu),Telugu,None,88,2018,All,Movie,Amazon Prime
Prithibir Sesh Station,Bengali,None,124,1993,NR,Movie,Amazon Prime
Pudhu Yugam,Tamil,None,120,1985,NR,Movie,Amazon Prime
The Peanut Seller,Hindi,None,19,2017,All,Movie,Amazon Prime
Bazaar,Kannada, 5.9,147,2019,13+,Movie,Amazon Prime
It Happened One Christmas,English,6.2,110,1977,13+,Movie,Amazon Prime
Ente Kaanakkuyil,Malayalam,None,116,1985,NR,Movie,Amazon Prime
Silly Fellows,Telugu,6,123,2018,All,Movie,Amazon Prime
Kaya Hiner Kahini,Bengali,6.9,113,1973,NR,Movie,Amazon Prime
Raatriki Velayara,Telugu,None,59,1994,NR,Movie,Amazon Prime
Chitchor,Hindi,7.5,102,1976,All,Movie,Amazon Prime
Kanoon,Hindi,7.9,139,None,All,Movie,Amazon Prime
Hit (The First Case),Telugu,7.7,128,2020,13+,Movie,Amazon Prime
Srinivasa Kalyanam,Hindi,6.1,122,2018,All,Movie,Amazon Prime
Shuddh Desi Romance,Hindi,5.8,126,2013,13+,Movie,Amazon Prime
Bal Ganesh (Malayalam),Malayalam,None,102,2007,All,Movie,Amazon Prime
The Bongs Again,Bengali,5.5,116,2017,13+,Movie,Amazon Prime
Mettukudi,Tamil,6.6,135,1996,All,Movie,Amazon Prime
Touch Chesi Chudu,Telugu,4.8,141,2018,13+,Movie,Amazon Prime
Sadi Gali Aaya Karo,Punjabi,None,135,2012,All,Movie,Amazon Prime
Zenda,Marathi,7,121,2009,13+,Movie,Amazon Prime
Streetscapes [Dialogue],English,None,131,2017,NR,Movie,Amazon Prime
Dugout,English,None,52,2019,13+,Movie,Amazon Prime
Padmaavat,Telugu,7,162,2018,13+,Movie,Amazon Prime
Kinaare,Kannada,None,155,2018,13+,Movie,Amazon Prime
Chirantan,Bengali,None,100,1979,NR,Movie,Amazon Prime
Pangali,Tamil,None,160,1992,NR,Movie,Amazon Prime
Looper,English,7.4,114,2012,18+,Movie,Amazon Prime
Sahasam Swasaga Sagipo,Telugu,6.9,136,2016,13+,Movie,Amazon Prime
Mujhse Fraaandship Karoge,Hindi,6.9,104,2011,13+,Movie,Amazon Prime
Thavamai Thavamirunthu,Tamil,7.8,204,2005,All,Movie,Amazon Prime
Air Strike,Hindi,3.2,97,2018,18+,Movie,Amazon Prime
Lights Out,Tamil,6.3,80,2016,18+,Movie,Amazon Prime
The Burning Hell,English,3.6,59,1974,NR,Movie,Amazon Prime
Room,English,8.1,113,2015,16+,Movie,Amazon Prime
Pahare Atankya,Bengali,None,123,2016,13+,Movie,Amazon Prime
Kayamkulam Kanaran,Malayalam,3.9,114,2002,NR,Movie,Amazon Prime
Mariah Carey's All I Want For Christmas Is You,English,None,90,2017,All,Movie,Amazon Prime
Drona,Hindi,None,144,2008,NR,Movie,Amazon Prime
Punjab Singh,Punjabi,6.2,150,2018,13+,Movie,Amazon Prime
Shriman Prithviraj,Bengali,None,107,2017,13+,Movie,Amazon Prime
Her,English,8,121,2014,18+,Movie,Amazon Prime
The Matrix,English,8.7,136,1999,18+,Movie,Amazon Prime
Chingari,Kannada, 5.6,127,2012,13+,Movie,Amazon Prime
Bobby Jasoos,Hindi,5.5,116,2014,All,Movie,Amazon Prime
Fanaa,Hindi,7.2,168,2006,13+,Movie,Amazon Prime
Bhoot Part One - The Haunted Ship,Hindi,5.4,110,2020,16+,Movie,Amazon Prime
Gavthi,Marathi,7.5,152,2018,NR,Movie,Amazon Prime
Rammstein in Amerika - Live from Madison Square Garden,English,8.7,101,2015,18+,Movie,Amazon Prime
Cinerama’s Russian Adventure,English,None,127,None,7+,Movie,Amazon Prime
Maaveeran,Tamil,7.6,156,1986,NR,Movie,Amazon Prime
Mithai,Telugu,4.3,137,2019,13+,Movie,Amazon Prime
Made with Pride,English,None,56,2020,13+,Movie,Amazon Prime
Aaron,Marathi,7.3,115,2018,13+,Movie,Amazon Prime
Jack Ryan: Shadow Recruit,Hindi,6.2,105,2014,13+,Movie,Amazon Prime
Chira Bhandhavya,Kannada,None,134,1993,NR,Movie,Amazon Prime
Texas Chainsaw Massacre,Hindi,4.8,88,2013,18+,Movie,Amazon Prime
Adhinayakudu,Telugu,3.6,151,2012,18+,Movie,Amazon Prime
Mutthanna,Kannada,8.6,146,1994,NR,Movie,Amazon Prime
