Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
Dirty Dancing,English,100,1987,13+,Movie,Amazon Prime,tt0092890,"Drama,Music,Romance",7.0
Ishhya,Marathi,119,2006,All,Movie,Amazon Prime,tt5476500,Comedy,5.5
Universal Soldier: Day of Reckoning,Telugu,105,2012,18+,Movie,Amazon Prime,tt1659343,"Action,Horror,Mystery",5.0
Manikarnika: The Queen of Jhansi,Tamil,140,2019,16+,Movie,Amazon Prime,tt6903440,"Action,Biography,Drama",6.4
Sugar Salt Ani Prem,Marathi,125,2015,All,Movie,Amazon Prime,tt3693976,Drama,6.1
Evil Eye,English,89,2020,16+,Movie,Amazon Prime,tt12882620,"Horror,Mystery,Thriller",4.8
Swarg,Hindi,151,1990,All,Movie,Amazon Prime,tt0173283,Drama,6.7
Bastard,English,7,2010,NR,Movie,Amazon Prime,tt1640108,Short,5.0
Nayakan,Tamil,156,1987,18+,Movie,Amazon Prime,tt0093603,"Crime,Drama",8.7
Twister,Hindi,113,1996,13+,Movie,Amazon Prime,tt0117998,"Action,Adventure,Thriller",6.4
Goonda,Telugu,137,1984,NR,Movie,Amazon Prime,tt0245924,"Action,Drama,Family",7.0
LOL,English,92,2012,16+,Movie,Amazon Prime,tt1592873,"Comedy,Drama,Romance",4.4
Robin Hood,English,140,2010,13+,Movie,Amazon Prime,tt0955308,"Action,Adventure,Drama",6.6
Mardaani,Hindi,113,2014,18+,Movie,Amazon Prime,tt3495000,"Action,Crime,Drama",7.3
The Cabin Guard,Bengali,85,2019,13+,Movie,Amazon Prime,tt11247774,Thriller,4.8
The Lego Movie,English,100,2014,All,Movie,Amazon Prime,tt1490017,"Adventure,Animation,Comedy",7.7
London Has Fallen,Hindi,94,2016,18+,Movie,Amazon Prime,tt3300542,"Action,Thriller",5.9
Summer in Bethlehem,Malayalam,154,1998,All,Movie,Amazon Prime,tt0274114,"Comedy,Drama",7.8
Michael,Bengali,133,2018,13+,Movie,Amazon Prime,tt10433430,Comedy,8.7
Quick,English,107,2011,16+,Movie,Amazon Prime,tt2007413,"Action,Comedy,Crime",5.8
Hey Ram,Hindi,199,2000,NR,Movie,Amazon Prime,tt0222012,"Crime,Drama,History",7.9
Karpagam,Tamil,169,1963,All,Movie,Amazon Prime,tt0214839,Drama,7.4
Vellinakshatram,Malayalam,156,2004,All,Movie,Amazon Prime,tt0393941,"Horror,Mystery",4.9
Jeevan Ek Sanghursh,Hindi,159,1990,All,Movie,Amazon Prime,tt0104548,"Drama,Family",4.8
Vaagai Sooda Vaa,Tamil,125,2011,All,Movie,Amazon Prime,tt2078763,"Comedy,Drama,Romance",8.1
Dishoom,Hindi,121,2016,NR,Movie,Amazon Prime,tt3679060,"Action,Adventure,Comedy",5.1
Generation Wealth,English,106,2018,18+,Movie,Amazon Prime,tt5268348,Documentary,6.7
Aakrosh,Hindi,145,2010,18+,Movie,Amazon Prime,tt1708453,"Action,Crime,Thriller",7.0
Zombieland: Double Tap,Telugu,99,2019,18+,Movie,Amazon Prime,tt11082738,Talk-Show,7.4
