IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt10567498,Lift,Movie,20,2018,PG-13,7,Drama,Amazon Prime
tt1568338,Man on a Ledge,Movie,102,2012,PG-13,6.6,Action,Amazon Prime
tt11354326,Al Mallu,Movie,128,2020,G,4,Drama,Amazon Prime
tt2084989,Upstream Color,Movie,96,2013,PG-13,6.7,Drama,Amazon Prime
tt5739748,Desh Re Joya Dada Pardesh Joya,Movie,164,1998,G,7.2,Drama,Amazon Prime
tt0266915,Rush Hour 2,Movie,90,2001,R,6.6,Action,Amazon Prime
tt1212056,Adhipathi,Movie,151,2001,G,4.1,Action,Amazon Prime
tt1579530,Bangaru Bullodu,Movie,153,1993,G,7.3,Action,Amazon Prime
tt3835608,Oohalu Gusagusalade,Movie,131,2014,G,7.7,Comedy,Amazon Prime
tt0790604,Deck the Halls,Movie,92,2006,PG-13,5,Comedy,Amazon Prime
tt6942450,Lechmi,Movie,149,2017,R,4.7,Comedy,Amazon Prime
tt0375568,Astro Boy,Movie,93,2009,PG,6.3,Action,Amazon Prime
tt1964837,Kempe Gowda,Movie,140,2011,G,7.1,Action,Amazon Prime
tt0337697,The Prince and Me,Movie,110,2004,PG,5.9,Comedy,Amazon Prime
tt0355376,Dilliwala Rajakumaran,Movie,108,1996,G,5.9,Comedy,Amazon Prime
tt4382484,Sadhuram 2,Movie,92,2016,PG-13,6.6,Crime,Amazon Prime
tt2659190,Just a Sigh,Movie,100,2013,PG,6.4,Drama,Amazon Prime
tt1622979,Final Destination 5,Movie,91,2011,R,5.8,Action,Amazon Prime
tt8075016,The Courier,Movie,99,2019,R,4.8,Action,Amazon Prime
tt0287978,Daredevil,Movie,103,2003,R,5.3,Action,Amazon Prime
tt2328922,It Felt Like Love,Movie,82,2013,G,5.7,Drama,Amazon Prime
tt1509838,Yogi,Movie,142,2009,PG-13,6.8,Action,Amazon Prime
tt0348150,Superman Returns,Movie,154,2006,G,6,Action,Amazon Prime
tt0410134,Jhoothi Shaan,Movie,139,1991,G,4.8,Action,Amazon Prime
tt0119285,Hero No. 1,Movie,130,1997,G,6.2,Comedy,Amazon Prime
tt2674454,Churchill,Movie,104,2017,PG-13,6.1,Biography,Amazon Prime
tt0234207,Marte Dam Tak,Movie,125,1987,G,4.9,Action,Amazon Prime
tt11317908,Sullu,Movie,102,2019,G,6.8,Drama,Amazon Prime
tt11355040,Odeya,Movie,162,2019,PG-13,4.5,Action,Amazon Prime
tt0084199,Khud-Daar,Movie,163,1982,G,6.9,Action,Amazon Prime
tt1391034,And Soon the Darkness,Movie,91,2010,R,5.1,Drama,Amazon Prime
tt2147374,Fogo,Movie,61,2012,G,5.7,Drama,Amazon Prime
tt0977625,Oram Po,Movie,109,2007,G,6.7,Action,Amazon Prime
tt0231454,Dharani Mandala Madhyadolage,Movie,146,1983,G,7.4,Drama,Amazon Prime
tt7390646,Black and Blue,Movie,107,2019,R,6.4,Action,Amazon Prime
tt1032751,The Warrior's Way,Movie,96,2010,R,6.3,Action,Amazon Prime
tt3380252,Lovers,Movie,122,2014,PG-13,7.6,Crime,Amazon Prime
tt9165332,Chitralahari,Movie,119,2019,G,7.2,Drama,Amazon Prime
tt1213928,Tahaan,Movie,94,2008,G,7.1,Drama,Amazon Prime
tt6003734,Aatishbaazi Ishq,Movie,145,2016,PG-13,5.4,Thriller,Amazon Prime
tt0432021,Resident Evil: Extinction,Movie,94,2007,R,6.2,Action,Amazon Prime
tt0295297,Harry Potter and the Chamber of Secrets,Movie,160,2002,G,7.4,Adventure,Amazon Prime
tt5998104,Aanandam,Movie,118,2016,G,7.2,Adventure,Amazon Prime
tt0356774,Kaiyethum Doorath,Movie,146,2002,G,3.5,Drama,Amazon Prime
tt7955126,Cappuccino,Movie,122,2014,G,5.8,Comedy,Amazon Prime
tt10687158,Western Stars,Movie,83,2019,PG-13,7.5,Documentary,Amazon Prime
tt11516394,The Lodge,Movie,108,2020,R,8.1,Comedy,Amazon Prime
