"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"2629","tt1845829","Lilli","Movie",2018,"TV-MA","26","Documentary",7.3,"Netflix"
"2630","tt1958961","Lilyhammer","TV Show",2014,"TV-MA","45","Comedy",8,"Netflix"
"2631","tt1219289","Limitless","Movie",2017,"TV-PG","105","Sci-Fi",7.4,"Netflix"
"2632","tt1495848","Limmy's Show!","TV Show",2012,"TV-MA","N/A","Comedy",8.3,"Netflix"
"2633","tt0095242","Lincoln","Movie",2012,"PG-13","188","Drama",7.1,"Netflix"
"2634","tt4089772","Line Walker","Movie",2016,"TV-MA","N/A","Action",7.5,"Netflix"
"2635","tt7293512","Lingua Franca","Movie",2020,"TV-MA","N/A","Documentary",2.2,"Netflix"
"2636","tt0063228","Lionheart","Movie",2018,"TV-PG","64","Drama",6.2,"Netflix"
"2637","tt0116890","Listen","Movie",2017,"TV-MA","101","Mystery",5,"Netflix"
"2638","tt11460334","Little Baby Bum: Nursery Rhyme Friends","TV Show",2019,"TV-Y","60","Animation",6.7,"Netflix"
"2639","tt1428449","Little Boxes","Movie",2016,"TV-MA","17","Comedy",8,"Netflix"
"2640","tt2937366","Little Evil","Movie",2017,"TV-MA","94","Comedy",5.7,"Netflix"
"2641","tt3501734","Little Lunch","TV Show",2015,"N/A","13","Comedy",8.3,"Netflix"
"2642","tt0026636","Little Men","Movie",2016,"PG","72","Drama",6.2,"Netflix"
"2643","tt9195844","Little Miss Sumo","Movie",2018,"TV-G","19","Biography",6.6,"Netflix"
"2644","tt0097758","Little Monsters","Movie",1989,"PG","100","Adventure",6.1,"Netflix"
"2645","tt0185431","Little Nicky","Movie",2000,"PG-13","90","Comedy",5.3,"Netflix"
"2646","tt11151836","Little Singham","TV Show",2020,"TV-Y7","12","Action",3.6,"Netflix"
"2647","tt12934616","Little Singham: Kaal Ka Badla","Movie",2020,"TV-Y7","69","Action",5.5,"Netflix"
"2648","tt0104741","Little Sister","Movie",2016,"NR","94","Comedy",5.6,"Netflix"
"2649","tt0443099","Little Things","TV Show",2019,"TV-MA","11","Animation",6.9,"Netflix"
"2650","tt2704454","Little Witch Academia","TV Show",2017,"TV-Y7","26","Animation",7.4,"Netflix"
"2651","tt8060322","Littlest Pet Shop: A World of Our Own","TV Show",2018,"TV-Y7","11","Animation",6.7,"Netflix"
"2652","tt2794380","Liv and Maddie","TV Show",2017,"TV-G","22","Comedy",6.4,"Netflix"
"2653","tt0392350","Live","TV Show",2018,"TV-MA","N/A","Musical",4.6,"Netflix"
"2654","tt12539758","Living in Bondage: Breaking Free","Movie",2019,"TV-MA","150","Drama",5.8,"Netflix"
"2655","tt10977486","Living Undocumented","TV Show",2019,"TV-MA","45","Documentary",6.6,"Netflix"
"2656","tt8880894","Living with Yourself","TV Show",2019,"TV-MA","26","Comedy",7.2,"Netflix"
"2657","tt3118958","Lizzie Borden Took an Ax","Movie",2014,"TV-14","87","Biography",5.8,"Netflix"
"2658","tt4781350","Llama Llama","TV Show",2019,"TV-Y","24","Adventure",6.6,"Netflix"
"2659","tt5275828","Lo and Behold: Reveries of the Connected World","Movie",2016,"PG-13","98","Documentary",7,"Netflix"
"2660","tt5507934","Lo más sencillo es complicarlo todo","Movie",2018,"TV-14","93","Comedy",3.8,"Netflix"
"2661","tt3223004","Lo que la vida me robó","TV Show",2013,"TV-14","42","Drama",8.1,"Netflix"
"2662","tt0110374","Loaded","TV Show",2017,"TV-MA","108","Drama",4.6,"Netflix"
"2663","tt0256156","Lock","Movie",2016,"TV-14","80","Horror",2.6,"Netflix"
"2664","tt0120735","Lock, Stock and Two Smoking Barrels","Movie",1998,"R","107","Action",8.2,"Netflix"
"2665","tt2692904","Locke","Movie",2013,"R","85","Drama",7.1,"Netflix"
"2666","tt11718586","Locke & Key","TV Show",2020,"TV-14","N/A","Talk-Show",8.3,"Netflix"
"2667","tt0623877","Locked Up","TV Show",2020,"TV-MA","44","Drama",7.8,"Netflix"
"2668","tt0800116","Lockout","Movie",2012,"PG-13","90","Horror",4,"Netflix"
"2669","tt7207478","Loco Love","Movie",2017,"TV-MA","102","Drama",4.4,"Netflix"
