imdb_id,title,type,rated,year,runtime,averageRating,genre,platform
tt2964642,Life Below Zero,TV Show,TV-PG,2013,44,8,Documentary,Disney plus
tt0450455,Life Is Ruff,Movie,TV-G,2005,84,4.9,Comedy,Disney plus
tt0107413,Life with Mikey,Movie,PG,1993,91,5.6,Comedy,Disney plus
tt3920782,Life-Size 2,Movie,TV-14,2018,81,4.8,Comedy,Disney plus
tt0945571,Lifted,Movie,G,2007,5,7.9,Animation,Disney plus
tt0275847,Lilo & Stitch,Movie,PG,2002,85,7.2,Animation,Disney plus
tt0364774,Lilo & Stitch: The Series,TV Show,TV-Y,2003,22,6.7,Animation,Disney plus
tt0457993,Lilo & Stitch 2: Stitch Has a Glitch,Movie,PG,2005,68,6.3,Animation,Disney plus
tt0273366,Lizzie McGuire,TV Show,TV-G,2001,30,6.6,Comedy,Disney plus
tt0029161,Lonesome Ghosts,Movie,N/A,1937,9,7.7,Animation,Disney plus
tt9536836,Loop,Movie,PG,2020,9,6.7,Animation,Disney plus
tt6267732,Lou,Movie,G,2017,7,7.9,Animation,Disney plus
tt0274636,The Luck of the Irish,Movie,TV-G,2001,86,6.2,Adventure,Disney plus
