"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"5439","tt3964988","Vroomiz","TV Show",2016,"TV-Y","11","Adventure","4.5","Netflix"
"5440","tt0201398","VS.","Movie",2018,"TV-MA","N/A","Comedy","6.3","Netflix"
"5441","tt8467788","W. Kamau Bell: Private School Negro","Movie",2018,"TV-MA","65","Comedy","6.4","Netflix"
"5442","tt1536048","W.E.","Movie",2011,"R","119","Drama","6.3","Netflix"
"5443","tt8190748","W/O Ram","Movie",2018,"TV-MA","122","Thriller","6.2","Netflix"
"5444","tt3610926","W1A","TV Show",2017,"TV-MA","30","Comedy","7.8","Netflix"
"5445","tt1821700","Waar","Movie",2013,"TV-MA","130","Action","7.9","Netflix"
"5446","tt0153622","Wadi","TV Show",2015,"TV-14","41","Documentary","6.1","Netflix"
"5447","tt2258858","Wadjda","Movie",2012,"PG","98","Comedy","7.5","Netflix"
"5448","tt12071466","Wait, My Youth","TV Show",2019,"TV-PG","N/A","Romance","8.5","Netflix"
"5449","tt0100898","Waiting","Movie",2015,"TV-MA","42","Short","8.2","Netflix"
"5450","tt0348333","Waiting...","Movie",2005,"R","94","Comedy","6.7","Netflix"
"5451","tt0309058","Wake Up","TV Show",2017,"TV-14","11","Short","8.2","Netflix"
"5452","tt1324059","Wake Up Sid","Movie",2009,"TV-14","138","Comedy","7.6","Netflix"
"5453","tt1342997","Wakefield","Movie",2016,"R","30","Drama","7","Netflix"
"5454","tt1807824","Wakfu","TV Show",2017,"TV-PG","24","Adventure","8.2","Netflix"
"5455","tt5612182","Walk Away from Love","Movie",2017,"TV-14","90","Romance","7.3","Netflix"
"5456","tt2253600","Walk with Me","Movie",2017,"TV-PG","43","Drama","8.2","Netflix"
"5457","tt5848416","Walk. Ride. Rodeo.","Movie",2019,"TV-PG","100","Biography","6.4","Netflix"
"5458","tt0665552","Walking Out","Movie",2017,"PG-13","N/A","Comedy","7.6","Netflix"
"5459","tt6181728","Walt Disney Animation Studios Short Films Collection","Movie",2015,"TV-Y","89","Adventure","7.7","Netflix"
"5460","tt9169592","Wanda Sykes: Not Normal","Movie",2019,"TV-MA","60","Comedy","7.2","Netflix"
